city,latitude,longitude,temp_max,temp_min,avg_temp,pressure,humidity,cloud,wind_speed,wind_deg,country,date,sunrise,sunset,weather_status,weather_description
Andorra la Vella,42.5045,1.4941,11.11,6.67,9.05,1005,89,98,1.27,195,AD,1619635552,1619585573,1619635791,Rain,light rain
Abu Dhabi,24.4667,54.3667,35,33,33.87,1009,40,100,1.03,0,AE,1619634964,1619574583,1619621405,Clouds,overcast clouds
Al Ain,24.1917,55.7606,33,33,33,1012,27,100,4.63,100,AE,1619635363,1619574270,1619621049,Clouds,overcast clouds
Dubai,25.2582,55.3047,34,34,34,1008,26,0,4.63,180,AE,1619635045,1619574298,1619621240,Clear,clear sky
Avellaneda,-29.1176,-59.6583,22.53,22.53,22.53,1020,42,0,0.77,121,AR,1619635553,1619605474,1619645240,Clear,clear sky
Martinez,38.0194,-122.1341,26.67,21.11,23.9,1023,27,1,3.09,0,US,1619635553,1619615720,1619664981,Clear,clear sky
Pilar,-9.5972,-35.9567,25,25,25,1011,88,75,3.6,60,BR,1619635554,1619598452,1619640888,Clouds,broken clouds
Tortuguitas,-34.4697,-58.7592,23.89,22.78,23.34,1020,53,20,3.6,300,AR,1619635554,1619605702,1619644582,Clouds,few clouds
Buenos Aires,-34.6132,-58.3772,23.33,22.22,22.89,1020,49,40,3.6,300,AR,1619635437,1619605623,1619644477,Clouds,scattered clouds
Vösendorf,48.1211,16.3404,13,12.78,12.93,1007,67,0,6.17,140,AT,1619635554,1619581262,1619632976,Clear,clear sky
Salzburg,47.7994,13.044,18,7.22,14.03,1003,39,20,3.09,50,AT,1619635328,1619582100,1619633721,Clouds,few clouds
Vienna,48.2085,16.3721,14,12.78,13.24,1007,67,0,6.17,140,AT,1619635104,1619581242,1619632982,Clear,clear sky
Baku,40.3777,49.892,12,12,12,1017,87,0,5.14,330,AZ,1619635192,1619574215,1619623921,Clear,clear sky
Zaventem,50.8837,4.473,16,14,14.82,1001,47,0,3.6,10,BE,1619635555,1619583668,1619636267,Clear,clear sky
Niterói,-22.8833,-43.1036,26,25,25.48,1014,69,40,5.14,170,BR,1619635528,1619601038,1619641732,Clouds,scattered clouds
Rio de Janeiro,-22.9028,-43.2075,28,25,26,1014,69,40,5.14,170,BR,1619635272,1619601064,1619641755,Clouds,scattered clouds
Barueri,-23.5106,-46.8761,23,21.11,22.01,1018,53,40,4.12,160,BR,1619635521,1619601988,1619642592,Clouds,scattered clouds
Campinas,-22.9056,-47.0608,27.78,26,26.88,1017,36,40,3.09,240,BR,1619635133,1619601989,1619642679,Clouds,scattered clouds
Santo André,-23.6639,-46.5383,23,20,21.43,1019,60,20,5.66,170,BR,1619635556,1619601918,1619642500,Clouds,few clouds
São Paulo,-23.5475,-46.6361,23,20,21.55,1018,53,40,4.12,160,BR,1619635319,1619601933,1619642532,Clouds,scattered clouds
Airdrie,55.866,-3.9803,7.22,6.67,6.96,1014,70,40,4.63,70,GB,1619635557,1619584730,1619639261,Clouds,scattered clouds
Banff,51.1762,-115.5698,12,11,11.38,1017,35,96,5.66,230,CA,1619635557,1619612390,1619665160,Clouds,overcast clouds
Beaumont,30.0861,-94.1019,29,27.78,28.59,1012,70,90,9.26,160,US,1619635557,1619609745,1619657502,Clouds,overcast clouds
Brooks,50.5834,-111.8851,12.78,12,12.26,1017,32,29,3.09,220,CA,1619635558,1619611608,1619664173,Clouds,scattered clouds
Calgary,51.0501,-114.0853,15,15,15,1014,23,20,5.66,280,CA,1619635558,1619612056,1619664782,Clouds,few clouds
Camrose,53.0168,-112.8353,9,8.89,8.96,1015,43,100,5.14,240,CA,1619635559,1619611400,1619664837,Clouds,overcast clouds
Canmore,51.0834,-115.3521,12,3.89,9.08,1017,35,76,5.66,230,CA,1619635559,1619612354,1619665092,Clouds,broken clouds
Chestermere,51.0334,-113.8187,15,14,14.68,1014,23,20,5.66,280,CA,1619635559,1619611995,1619664715,Clouds,few clouds
Cochrane,51.1834,-114.4687,15,13.33,14.42,1014,25,1,8.75,260,CA,1619635559,1619612125,1619664897,Clear,clear sky
Edmonton,53.5501,-113.4687,9.44,7.78,8.78,1017,53,100,3.6,230,CA,1619635409,1619611449,1619665092,Clouds,overcast clouds
Fort McMurray,56.7268,-111.381,-1,-1,-1,1017,43,75,2.06,0,CA,1619635560,1619610269,1619665271,Clouds,broken clouds
Fort Saskatchewan,53.7168,-113.2187,9,7.22,8.06,1015,53,100,3.09,250,CA,1619635560,1619611357,1619665065,Clouds,overcast clouds
Grand Prairie,32.746,-96.9978,28,26,27.14,1009,61,40,5.66,170,US,1619635560,1619610205,1619658431,Clouds,scattered clouds
Grande Prairie,55.1667,-118.8027,-2,-2,-2,1016,80,75,2.06,70,CA,1619635560,1619612397,1619666705,Clouds,broken clouds
Leduc,53.2668,-113.552,9,8.89,8.96,1017,46,100,3.6,230,CA,1619635560,1619611524,1619665057,Clouds,overcast clouds
Lethbridge,49.7,-112.8186,17,16,16.29,1015,29,75,5.14,290,CA,1619635561,1619611977,1619664252,Clouds,broken clouds
Lloydminster,53.2835,-110.0016,5,5,5,1016,52,75,6.69,210,CA,1619635561,1619610670,1619664207,Clouds,broken clouds
Medicine Hat,50.0501,-110.6683,14,13,13.4,1016,33,1,3.09,230,CA,1619635561,1619611405,1619663792,Clear,clear sky
Okotoks,50.7289,-113.9828,15,14,14.73,1014,23,20,5.66,280,CA,1619635561,1619612086,1619664702,Clouds,few clouds
Red Deer,52.2668,-113.802,10,9,9.55,1015,37,20,2.06,20,CA,1619635561,1619611772,1619664930,Clouds,few clouds
Rocky View,51.1834,-113.9353,15,13.89,14.64,1014,23,20,5.66,280,CA,1619635562,1619611997,1619664769,Clouds,few clouds
Sherwood Park,53.5168,-113.3187,10,8,9.1,1017,53,100,3.6,230,CA,1619635316,1619611420,1619665050,Rain,light rain
Spruce Grove,53.5334,-113.9187,9.44,7,8.4,1015,61,90,3.6,260,CA,1619635562,1619611560,1619665197,Clouds,overcast clouds
St. Albert,53.6334,-113.6353,9.44,7,8.46,1017,53,100,3.6,230,CA,1619635563,1619611473,1619665149,Clouds,overcast clouds
Strathmore,51.0501,-113.3852,14,14,14,1014,28,14,2.57,210,CA,1619635563,1619611888,1619664613,Clouds,few clouds
Abbotsford,49.058,-122.2526,13.89,13,13.6,1026,71,90,1.54,250,CA,1619635563,1619614341,1619666416,Clouds,overcast clouds
Aldergrove,49.058,-122.4709,14.44,13,13.62,1026,71,90,1.54,250,CA,1619635564,1619614393,1619666469,Clouds,overcast clouds
Burnaby,49.2664,-122.9526,13.89,11,12.53,1026,76,90,3.6,90,CA,1619635564,1619614476,1619666617,Clouds,overcast clouds
